"plays","loads","finishes","downloads","likes","comments","uri","name","created_time","sizes","unique_viewers","unique_loads","mean_percent","mean_seconds","sum_seconds"
0,2,0,0,0,0,/videos/641971000,"Rola 1 - Larissa x Bia mesquita",2021-11-03T15:50:37+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/641974742,"Rola 4 - Bia mesquita X Izadora",2021-11-03T15:59:37+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/641995524,"Rola 16 - Jhonathan X Wesley",2021-11-03T16:52:14+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/642098622,"Rola 62 Kleber X Ana",2021-11-03T21:51:57+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/677351853,"Rola 88 juninho  X bruno",2022-02-14T18:49:37+00:00,Array,0,0,0,0,0
0,3,0,0,0,0,/videos/677349722,"Rola 93 pedro bolo X matheus moraes",2022-02-14T18:44:26+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/677347121,"Rola 92 diego pato  X kleber",2022-02-14T18:38:26+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/675610546,"Rola 84 Piaui X Rafael Borges",2022-02-09T20:06:11+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/675604513,"Carlos posição 6",2022-02-09T19:49:49+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/675550323,"piaui posição 2 corrigida",2022-02-09T17:22:35+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/675549871,"piaui posição 5 corrigida",2022-02-09T17:21:25+00:00,Array,0,0,0,0,0
0,2,0,0,0,0,/videos/675480348,"Erich posição 8 corrigida",2022-02-09T14:33:52+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/675436408,"Anderson posição 1 corrigida",2022-02-09T12:27:54+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/675434609,"Anderson posição 7 corrigida",2022-02-09T12:22:01+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/675419604,"izadora posição 8 corrigida",2022-02-09T11:32:44+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/673290820,"Lucas carvalho posição 9",2022-02-03T18:10:20+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/673288093,"Lucas carvalho posição 5",2022-02-03T18:03:04+00:00,Array,0,1,0,0,0
0,1,0,0,0,0,/videos/673286924,"Lucas carvalho posição 4",2022-02-03T18:00:07+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/673282933,"Lucas carvalho posição 1",2022-02-03T17:49:51+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/673278417,"Carlos posição 7",2022-02-03T17:38:08+00:00,Array,0,0,0,0,0
0,1,0,0,0,0,/videos/643215150,"YARA posição 10",2021-11-07T15:33:31+00:00,Array,0,0,0,0,0
